time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
33.49,8.3287,-4.61252e-05,0.00047874,2.11852,0.000447632,-0.000142032,0.253996,-0.0053607,0.0789711,2683.84,1033.74
7.06,5.54922,0.00044354,0.00281149,0.252656,-0.000115212,-0.000129277,0.108898,-0.00105569,0.0338391,1045.24,247.105
93.75,5.54995,-0.000538498,0.00433079,0.107274,-0.00189119,8.00818e-05,0.139022,0.000641042,0.043187,94.7661,1314.59
88.97,5.54372,0.00135598,-0.00446082,0.206937,0.00174354,0.00013269,0.106832,0.00149834,0.0333473,-304.655,1419.49
4.54,8.49559,5.77717e-05,-0.000104329,0.0107033,8.61566e-05,-1.03185e-05,0.155928,-4.0165e-05,0.0484019,-19.5352,1028.74
47.54,5.56633,-0.00838138,0.0359071,203.948,0.0041794,-0.0429594,-0.0207209,0.0418086,0.00613266,-2126.77,-3739.75
34.99,8.33909,-0.00248522,0.00821806,8.98801,-0.00288308,0.000655939,1.09251,-0.00072941,0.349074,-3178.25,5534.97
30.2,8.33994,-8.47847e-05,-1.86376e-06,4.05494,3.97606e-05,-0.000587142,0.0721109,-0.00395781,0.0223035,4029.07,-2265.68
19.12,5.54798,-0.000636029,0.00719843,10.0454,-0.00117161,-0.000685802,0.0130944,-0.00149818,0.00477467,5955.32,-2444.42
22.77,8.34616,-4.62515e-05,0.00495357,1.98016,-0.000827648,0.000552558,0.165549,0.000763583,0.0514349,-1388.81,2490.4
13.2,13.8954,-0.00304053,0.00311503,4.462,-0.0036918,0.000498808,0.203632,-0.00128475,0.0631039,-3364.25,3189.69
59.3,5.55176,0.000740715,-0.00128596,0.321688,0.00130428,0.000136583,0.209205,-0.00332149,0.0648749,-205.625,2290.62
30.63,13.8849,-0.00251787,-0.00161213,13.6958,-0.00582653,0.000654981,0.893707,-0.00392051,0.282101,-4851.01,7669.82
47.45,13.8774,0.000160142,-0.00337312,3.36746,0.0010426,0.000480221,0.149406,0.00151183,0.0464443,-2762.58,2308.93
